SiteCode,Year,SpeciesCode,ReportItem,ReportItemName,Annual
CD9,2019,PM10,7,Annual data capture rate (%):,100
CD9,2019,PM25,0,PM2.5 Particulates,-999
CD9,2019,PM25,1,Data capture rate (%):,100
CD9,2019,PM25,2,Hourly mean (ug/m3):,24
CD9,2019,PM25,3,Low days:,351
CD9,2019,PM25,4,Moderate days:,13
CD9,2019,PM25,5,High days:,0
CD9,2019,PM25,6,Very High days:,0
CD9,2019,PM25,7,Mean: (AQS Objective < 25ug/m3),14
CD9,2020,NO2,0,Nitrogen Dioxide,-999
CD9,2020,NO2,1,Data capture rate (%):,50
CD9,2020,NO2,2,Hourly max (ug/m3):,149.8
CD9,2020,NO2,3,Low days:,181
CD9,2020,NO2,4,Moderate days:,0
CD9,2020,NO2,5,High days:,0
CD9,2020,NO2,6,Very High days:,0
CD9,2020,NO2,7,Mean: (AQS Objective < 40ug/m3),48
CD9,2020,NO2,7,Annual data capture rate (%):,50
CD9,2020,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CD9,2020,PM10,0,PM10 Particulates,-999
CD9,2020,PM10,1,Data capture rate (%):,50
CD9,2020,PM10,2,Hourly mean (ug/m3):,29.6
CD9,2020,PM10,3,Low days:,180
CD9,2020,PM10,4,Moderate days:,0
CD9,2020,PM10,5,High days:,0
CD9,2020,PM10,6,Very High days:,0
CD9,2020,PM10,7,Mean: (AQS Objective < 40ug/m3),18
CD9,2020,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),0
CD9,2020,PM10,7,Annual data capture rate (%):,50
CD9,2020,PM25,0,PM2.5 Particulates,-999
CD9,2020,PM25,1,Data capture rate (%):,50
CD9,2020,PM25,2,Hourly mean (ug/m3):,19.5
CD9,2020,PM25,3,Low days:,179
CD9,2020,PM25,4,Moderate days:,1
CD9,2020,PM25,5,High days:,0
CD9,2020,PM25,6,Very High days:,0
CD9,2020,PM25,7,Mean: (AQS Objective < 25ug/m3),11
CE1,2020,NO2,0,Nitrogen Dioxide,-999
CE1,2020,NO2,1,Data capture rate (%):,62
CE1,2020,NO2,2,Hourly max (ug/m3):,119.8
CE1,2020,NO2,3,Low days:,226
CE1,2020,NO2,4,Moderate days:,0
CE1,2020,NO2,5,High days:,0
CE1,2020,NO2,6,Very High days:,0
CE1,2020,NO2,7,Mean: (AQS Objective < 40ug/m3),31
CE1,2020,NO2,7,Annual data capture rate (%):,63
CE1,2020,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE1,2021,NO2,0,Nitrogen Dioxide,-999
CE1,2021,NO2,1,Data capture rate (%):,80
CE1,2021,NO2,2,Hourly max (ug/m3):,163.7
CE1,2021,NO2,3,Low days:,287
CE1,2021,NO2,4,Moderate days:,0
CE1,2021,NO2,5,High days:,0
CE1,2021,NO2,6,Very High days:,0
CE1,2021,NO2,7,Mean: (AQS Objective < 40ug/m3),36
CE1,2021,NO2,7,Annual data capture rate (%):,80
CE1,2021,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE1,2022,NO2,0,Nitrogen Dioxide,-999
CE1,2022,NO2,1,Data capture rate (%):,98
CE1,2022,NO2,2,Hourly max (ug/m3):,139.1
CE1,2022,NO2,3,Low days:,359
CE1,2022,NO2,4,Moderate days:,0
CE1,2022,NO2,5,High days:,0
CE1,2022,NO2,6,Very High days:,0
CE1,2022,NO2,7,Mean: (AQS Objective < 40ug/m3),39
CE1,2022,NO2,7,Annual data capture rate (%):,98
CE1,2022,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE1,2023,NO2,0,Nitrogen Dioxide,-999
CE1,2023,NO2,1,Data capture rate (%):,16
CE1,2023,NO2,2,Hourly max (ug/m3):,138.5
CE1,2023,NO2,3,Low days:,58
CE1,2023,NO2,4,Moderate days:,0
CE1,2023,NO2,5,High days:,0
CE1,2023,NO2,6,Very High days:,0
CE1,2023,NO2,7,Mean: (AQS Objective < 40ug/m3),42
CE1,2023,NO2,7,Annual data capture rate (%):,16
CE1,2023,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE2,2020,NO2,0,Nitrogen Dioxide,-999
CE2,2020,NO2,1,Data capture rate (%):,3
CE2,2020,NO2,2,Hourly max (ug/m3):,78.6
CE2,2020,NO2,3,Low days:,10
CE2,2020,NO2,4,Moderate days:,0
CE2,2020,NO2,5,High days:,0
CE2,2020,NO2,6,Very High days:,0
CE2,2020,NO2,7,Mean: (AQS Objective < 40ug/m3),31
CE2,2020,NO2,7,Annual data capture rate (%):,3
CE2,2020,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE2,2020,O3,0,Ozone,-999
CE2,2020,O3,1,Data capture rate (%):,3
CE2,2020,O3,2,Rolling 8hr max (ug/m3):,78.2
CE2,2020,O3,3,Low days:,10
CE2,2020,O3,4,Moderate days:,0
CE2,2020,O3,5,High days:,0
CE2,2020,O3,6,Very High days:,0
CE2,2020,O3,7,Days where maximum rolling 8hr mean >100ug/m3: (AQS Objective <= 10),0
CE2,2020,O3,7,Annual data capture rate (%):,3
CE2,2021,FINE,0,PM2.5 (not reference equiv.),-999
CE2,2021,FINE,1,Data capture rate (%):,95
CE2,2021,FINE,2,Hourly mean (ug/m3):,16.4
CE2,2021,NO2,0,Nitrogen Dioxide,-999
CE2,2021,NO2,1,Data capture rate (%):,95
CE2,2021,NO2,2,Hourly max (ug/m3):,133.3
CE2,2021,NO2,3,Low days:,347
CE2,2021,NO2,4,Moderate days:,0
CE2,2021,NO2,5,High days:,0
CE2,2021,NO2,6,Very High days:,0
CE2,2021,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE2,2021,NO2,7,Mean: (AQS Objective < 40ug/m3),36
CE2,2021,NO2,7,Annual data capture rate (%):,95
CE2,2021,O3,0,Ozone,-999
CE2,2021,O3,1,Data capture rate (%):,97
CE2,2021,O3,2,Rolling 8hr max (ug/m3):,122.5
CE2,2021,O3,3,Low days:,361
CE2,2021,O3,4,Moderate days:,2
CE2,2021,O3,5,High days:,0
CE2,2021,O3,6,Very High days:,0
CE2,2021,O3,7,Days where maximum rolling 8hr mean >100ug/m3: (AQS Objective <= 10),2
CE2,2021,O3,7,Annual data capture rate (%):,97
CE2,2021,PM10,0,PM10 Particulates,-999
CE2,2021,PM10,1,Data capture rate (%):,98
CE2,2021,PM10,2,Hourly mean (ug/m3):,26.8
CE2,2021,PM10,3,Low days:,357
CE2,2021,PM10,4,Moderate days:,0
CE2,2021,PM10,5,High days:,0
CE2,2021,PM10,6,Very High days:,0
CE2,2021,PM10,7,Mean: (AQS Objective < 40ug/m3),15
CE2,2021,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),0
CE2,2021,PM10,7,Annual data capture rate (%):,98
CE2,2021,PM25,0,PM2.5 Particulates,-999
CE2,2021,PM25,1,Data capture rate (%):,98
CE2,2021,PM25,2,Hourly mean (ug/m3):,15.3
CE2,2021,PM25,3,Low days:,354
CE2,2021,PM25,4,Moderate days:,2
CE2,2021,PM25,5,High days:,0
CE2,2021,PM25,6,Very High days:,0
CE2,2021,PM25,7,Mean: (AQS Objective < 25ug/m3),9
CE2,2022,FINE,0,PM2.5 (not reference equiv.),-999
CE2,2022,FINE,1,Data capture rate (%):,91
CE2,2022,FINE,2,Hourly mean (ug/m3):,21.2
CE2,2022,NO2,0,Nitrogen Dioxide,-999
CE2,2022,NO2,1,Data capture rate (%):,99
CE2,2022,NO2,2,Hourly max (ug/m3):,142.2
CE2,2022,NO2,3,Low days:,362
CE2,2022,NO2,4,Moderate days:,0
CE2,2022,NO2,5,High days:,0
CE2,2022,NO2,6,Very High days:,0
CE2,2022,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE2,2022,NO2,7,Mean: (AQS Objective < 40ug/m3),38
CE2,2022,NO2,7,Annual data capture rate (%):,99
CE2,2022,O3,0,Ozone,-999
CE2,2022,O3,1,Data capture rate (%):,95
CE2,2022,O3,2,Rolling 8hr max (ug/m3):,132.5
CE2,2022,O3,3,Low days:,356
CE2,2022,O3,4,Moderate days:,4
CE2,2022,O3,5,High days:,0
CE2,2022,O3,6,Very High days:,0
CE2,2022,O3,7,Days where maximum rolling 8hr mean >100ug/m3: (AQS Objective <= 10),5
CE2,2022,O3,7,Annual data capture rate (%):,95
CE2,2022,PM10,0,PM10 Particulates,-999
CE2,2022,PM10,1,Data capture rate (%):,91
CE2,2022,PM10,2,Hourly mean (ug/m3):,36
CE2,2022,PM10,3,Low days:,324
CE2,2022,PM10,4,Moderate days:,3
CE2,2022,PM10,5,High days:,0
CE2,2022,PM10,6,Very High days:,0
CE2,2022,PM10,7,Mean: (AQS Objective < 40ug/m3),19
CE2,2022,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),5
CE2,2022,PM10,7,Annual data capture rate (%):,91
CE2,2022,PM25,0,PM2.5 Particulates,-999
CE2,2022,PM25,1,Data capture rate (%):,91
CE2,2022,PM25,2,Hourly mean (ug/m3):,17.4
CE2,2022,PM25,3,Low days:,325
CE2,2022,PM25,4,Moderate days:,3
CE2,2022,PM25,5,High days:,0
CE2,2022,PM25,6,Very High days:,0
CE2,2022,PM25,7,Mean: (AQS Objective < 25ug/m3),10
CE2,2023,FINE,0,PM2.5 (not reference equiv.),-999
CE2,2023,FINE,1,Data capture rate (%):,95
CE2,2023,FINE,2,Hourly mean (ug/m3):,17.2
CE2,2023,NO2,0,Nitrogen Dioxide,-999
CE2,2023,NO2,1,Data capture rate (%):,95
CE2,2023,NO2,2,Hourly max (ug/m3):,139.2
CE2,2023,NO2,3,Low days:,348
CE2,2023,NO2,4,Moderate days:,0
CE2,2023,NO2,5,High days:,0
CE2,2023,NO2,6,Very High days:,0
CE2,2023,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE2,2023,NO2,7,Mean: (AQS Objective < 40ug/m3),36
CE2,2023,NO2,7,Annual data capture rate (%):,95
CE2,2023,O3,0,Ozone,-999
CE2,2023,O3,1,Data capture rate (%):,78
CE2,2023,O3,2,Rolling 8hr max (ug/m3):,128.2
CE2,2023,O3,3,Low days:,292
CE2,2023,O3,4,Moderate days:,2
CE2,2023,O3,5,High days:,0
CE2,2023,O3,6,Very High days:,0
CE2,2023,O3,7,Days where maximum rolling 8hr mean >100ug/m3: (AQS Objective <= 10),2
CE2,2023,O3,7,Annual data capture rate (%):,78
CE2,2023,PM10,0,PM10 Particulates,-999
CE2,2023,PM10,1,Data capture rate (%):,95
CE2,2023,PM10,2,Hourly mean (ug/m3):,27.8
CE2,2023,PM10,3,Low days:,343
CE2,2023,PM10,4,Moderate days:,4
CE2,2023,PM10,5,High days:,0
CE2,2023,PM10,6,Very High days:,0
CE2,2023,PM10,7,Mean: (AQS Objective < 40ug/m3),17
CE2,2023,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),4
CE2,2023,PM10,7,Annual data capture rate (%):,95
CE2,2023,PM25,0,PM2.5 Particulates,-999
CE2,2023,PM25,1,Data capture rate (%):,89
CE2,2023,PM25,2,Hourly mean (ug/m3):,16.4
CE2,2023,PM25,3,Low days:,321
CE2,2023,PM25,4,Moderate days:,3
CE2,2023,PM25,5,High days:,0
CE2,2023,PM25,6,Very High days:,0
CE2,2023,PM25,7,Mean: (AQS Objective < 25ug/m3),9
CE2,2024,FINE,0,PM2.5 (not reference equiv.),-999
CE2,2024,FINE,1,Data capture rate (%):,63
CE2,2024,FINE,2,Hourly mean (ug/m3):,18.7
CE2,2024,NO2,0,Nitrogen Dioxide,-999
CE2,2024,NO2,1,Data capture rate (%):,64
CE2,2024,NO2,2,Hourly max (ug/m3):,97.2
CE2,2024,NO2,3,Low days:,233
CE2,2024,NO2,4,Moderate days:,0
CE2,2024,NO2,5,High days:,0
CE2,2024,NO2,6,Very High days:,0
CE2,2024,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE2,2024,NO2,7,Mean: (AQS Objective < 40ug/m3),34
CE2,2024,NO2,7,Annual data capture rate (%):,64
CE2,2024,O3,0,Ozone,-999
CE2,2024,O3,1,Data capture rate (%):,64
CE2,2024,O3,2,Rolling 8hr max (ug/m3):,118.3
CE2,2024,O3,3,Low days:,228
CE2,2024,O3,4,Moderate days:,3
CE2,2024,O3,5,High days:,0
CE2,2024,O3,6,Very High days:,0
CE2,2024,O3,7,Days where maximum rolling 8hr mean >100ug/m3: (AQS Objective <= 10),3
CE2,2024,O3,7,Annual data capture rate (%):,65
CE2,2024,PM10,0,PM10 Particulates,-999
CE2,2024,PM10,1,Data capture rate (%):,63
CE2,2024,PM10,2,Hourly mean (ug/m3):,45.9
CE2,2024,PM10,3,Low days:,223
CE2,2024,PM10,4,Moderate days:,3
CE2,2024,PM10,5,High days:,1
CE2,2024,PM10,6,Very High days:,1
CE2,2024,PM10,7,Mean: (AQS Objective < 40ug/m3),18
CE2,2024,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),5
CE2,2024,PM10,7,Annual data capture rate (%):,64
CE2,2024,PM25,0,PM2.5 Particulates,-999
CE2,2024,PM25,1,Data capture rate (%):,63
CE2,2024,PM25,2,Hourly mean (ug/m3):,17.7
CE2,2024,PM25,3,Low days:,226
CE2,2024,PM25,4,Moderate days:,1
CE2,2024,PM25,5,High days:,0
CE2,2024,PM25,6,Very High days:,0
CE2,2024,PM25,7,Mean: (AQS Objective < 25ug/m3),9
CE3,2022,FINE,0,PM2.5 (not reference equiv.),-999
CE3,2022,FINE,1,Data capture rate (%):,9
CE3,2022,FINE,2,Hourly mean (ug/m3):,23.1
CE3,2022,NO2,0,Nitrogen Dioxide,-999
CE3,2022,NO2,1,Data capture rate (%):,11
CE3,2022,NO2,2,Hourly max (ug/m3):,77.6
CE3,2022,NO2,3,Low days:,40
CE3,2022,NO2,4,Moderate days:,0
CE3,2022,NO2,5,High days:,0
CE3,2022,NO2,6,Very High days:,0
CE3,2022,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE3,2022,NO2,7,Mean: (AQS Objective < 40ug/m3),39
CE3,2022,NO2,7,Annual data capture rate (%):,11
CE3,2022,PM10,0,PM10 Particulates,-999
CE3,2022,PM10,1,Data capture rate (%):,9
CE3,2022,PM10,2,Hourly mean (ug/m3):,32
CE3,2022,PM10,3,Low days:,31
CE3,2022,PM10,4,Moderate days:,0
CE3,2022,PM10,5,High days:,0
CE3,2022,PM10,6,Very High days:,0
CE3,2022,PM10,7,Mean: (AQS Objective < 40ug/m3),20
CE3,2022,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),0
CE3,2022,PM10,7,Annual data capture rate (%):,9
CE3,2022,PM25,0,PM2.5 Particulates,-999
CE3,2022,PM25,1,Data capture rate (%):,9
CE3,2022,PM25,2,Hourly mean (ug/m3):,21.8
CE3,2022,PM25,3,Low days:,31
CE3,2022,PM25,4,Moderate days:,0
CE3,2022,PM25,5,High days:,0
CE3,2022,PM25,6,Very High days:,0
CE3,2022,PM25,7,Mean: (AQS Objective < 25ug/m3),13
CE3,2023,FINE,0,PM2.5 (not reference equiv.),-999
CE3,2023,FINE,1,Data capture rate (%):,95
CE3,2023,FINE,2,Hourly mean (ug/m3):,18.9
CE3,2023,NO2,0,Nitrogen Dioxide,-999
CE3,2023,NO2,1,Data capture rate (%):,81
CE3,2023,NO2,2,Hourly max (ug/m3):,124.6
CE3,2023,NO2,3,Low days:,306
CE3,2023,NO2,4,Moderate days:,0
CE3,2023,NO2,5,High days:,0
CE3,2023,NO2,6,Very High days:,0
CE3,2023,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE3,2023,NO2,7,Mean: (AQS Objective < 40ug/m3),39
CE3,2023,NO2,7,Annual data capture rate (%):,81
CE3,2023,PM10,0,PM10 Particulates,-999
CE3,2023,PM10,1,Data capture rate (%):,95
CE3,2023,PM10,2,Hourly mean (ug/m3):,29.2
CE3,2023,PM10,3,Low days:,340
CE3,2023,PM10,4,Moderate days:,1
CE3,2023,PM10,5,High days:,0
CE3,2023,PM10,6,Very High days:,0
CE3,2023,PM10,7,Mean: (AQS Objective < 40ug/m3),17
CE3,2023,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),3
CE3,2023,PM10,7,Annual data capture rate (%):,95
CE3,2023,PM25,0,PM2.5 Particulates,-999
CE3,2023,PM25,1,Data capture rate (%):,95
CE3,2023,PM25,2,Hourly mean (ug/m3):,17.8
CE3,2023,PM25,3,Low days:,339
CE3,2023,PM25,4,Moderate days:,4
CE3,2023,PM25,5,High days:,0
CE3,2023,PM25,6,Very High days:,0
CE3,2023,PM25,7,Mean: (AQS Objective < 25ug/m3),10
CE3,2024,FINE,0,PM2.5 (not reference equiv.),-999
CE3,2024,FINE,1,Data capture rate (%):,74
CE3,2024,FINE,2,Hourly mean (ug/m3):,23.9
CE3,2024,NO2,0,Nitrogen Dioxide,-999
CE3,2024,NO2,1,Data capture rate (%):,74
CE3,2024,NO2,2,Hourly max (ug/m3):,125.1
CE3,2024,NO2,3,Low days:,271
CE3,2024,NO2,4,Moderate days:,0
CE3,2024,NO2,5,High days:,0
CE3,2024,NO2,6,Very High days:,0
CE3,2024,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CE3,2024,NO2,7,Mean: (AQS Objective < 40ug/m3),35
CE3,2024,NO2,7,Annual data capture rate (%):,74
CE3,2024,PM10,0,PM10 Particulates,-999
CE3,2024,PM10,1,Data capture rate (%):,74
CE3,2024,PM10,2,Hourly mean (ug/m3):,50.9
CE3,2024,PM10,3,Low days:,263
CE3,2024,PM10,4,Moderate days:,7
CE3,2024,PM10,5,High days:,0
CE3,2024,PM10,6,Very High days:,0
CE3,2024,PM10,7,Mean: (AQS Objective < 40ug/m3),21
CE3,2024,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),8
CE3,2024,PM10,7,Annual data capture rate (%):,75
CE3,2024,PM25,0,PM2.5 Particulates,-999
CE3,2024,PM25,1,Data capture rate (%):,72
CE3,2024,PM25,2,Hourly mean (ug/m3):,22.8
CE3,2024,PM25,3,Low days:,263
CE3,2024,PM25,4,Moderate days:,1
CE3,2024,PM25,5,High days:,0
CE3,2024,PM25,6,Very High days:,0
CE3,2024,PM25,7,Mean: (AQS Objective < 25ug/m3),11
CR4,2014,NO2,0,Nitrogen Dioxide,-999
CR4,2014,NO2,1,Data capture rate (%):,93
CR4,2014,NO2,2,Hourly max (ug/m3):,170.1
CR4,2014,NO2,3,Low days:,328
CR4,2014,NO2,4,Moderate days:,0
CR4,2014,NO2,5,High days:,0
CR4,2014,NO2,6,Very High days:,0
CR4,2014,NO2,7,Mean: (AQS Objective < 40ug/m3),45
CR4,2014,NO2,7,Annual data capture rate (%):,93
CR4,2014,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR4,2014,PM10,0,PM10 Particulates,-999
CR4,2014,PM10,1,Data capture rate (%):,93
CR4,2014,PM10,2,Hourly mean (ug/m3):,36.2
CR4,2014,PM10,3,Low days:,328
CR4,2014,PM10,4,Moderate days:,6
CR4,2014,PM10,5,High days:,1
CR4,2014,PM10,6,Very High days:,0
CR4,2014,PM10,7,Mean: (AQS Objective < 40ug/m3),23
CR4,2014,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),9
CR4,2014,PM10,7,Annual data capture rate (%):,93
CR4,2015,PM10,0,PM10 Particulates,-999
CR4,2015,PM10,1,Data capture rate (%):,25
CR4,2015,PM10,2,Hourly mean (ug/m3):,42.3
CR4,2015,PM10,3,Low days:,89
CR4,2015,PM10,4,Moderate days:,1
CR4,2015,PM10,5,High days:,0
CR4,2015,PM10,6,Very High days:,0
CR4,2015,PM10,7,Mean: (AQS Objective < 40ug/m3),24
CR4,2015,PM10,7,Annual data capture rate (%):,25
CR4,2015,PM10,7,Days where daily mean >50ug/m3: (AQS Objective <= 35),2
CR5,2014,NO2,0,Nitrogen Dioxide,-999
CR5,2014,NO2,1,Data capture rate (%):,45
CR5,2014,NO2,2,Hourly max (ug/m3):,183.2
CR5,2014,NO2,3,Low days:,162
CR5,2014,NO2,4,Moderate days:,0
CR5,2014,NO2,5,High days:,0
CR5,2014,NO2,6,Very High days:,0
CR5,2014,NO2,7,Mean: (AQS Objective < 40ug/m3),66
CR5,2014,NO2,7,Annual data capture rate (%):,45
CR5,2014,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2015,NO2,0,Nitrogen Dioxide,-999
CR5,2015,NO2,1,Data capture rate (%):,83
CR5,2015,NO2,2,Hourly max (ug/m3):,256.7
CR5,2015,NO2,3,Low days:,302
CR5,2015,NO2,4,Moderate days:,2
CR5,2015,NO2,5,High days:,0
CR5,2015,NO2,6,Very High days:,0
CR5,2015,NO2,7,Mean: (AQS Objective < 40ug/m3),58
CR5,2015,NO2,7,Annual data capture rate (%):,83
CR5,2015,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),2
CR5,2016,NO2,0,Nitrogen Dioxide,-999
CR5,2016,NO2,1,Data capture rate (%):,95
CR5,2016,NO2,2,Hourly max (ug/m3):,132.6
CR5,2016,NO2,3,Low days:,348
CR5,2016,NO2,4,Moderate days:,0
CR5,2016,NO2,5,High days:,0
CR5,2016,NO2,6,Very High days:,0
CR5,2016,NO2,7,Mean: (AQS Objective < 40ug/m3),47
CR5,2016,NO2,7,Annual data capture rate (%):,95
CR5,2016,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2017,NO2,0,Nitrogen Dioxide,-999
CR5,2017,NO2,1,Data capture rate (%):,100
CR5,2017,NO2,2,Hourly max (ug/m3):,182.7
CR5,2017,NO2,3,Low days:,365
CR5,2017,NO2,4,Moderate days:,0
CR5,2017,NO2,5,High days:,0
CR5,2017,NO2,6,Very High days:,0
CR5,2017,NO2,7,Mean: (AQS Objective < 40ug/m3),48
CR5,2017,NO2,7,Annual data capture rate (%):,100
CR5,2017,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2018,NO2,0,Nitrogen Dioxide,-999
CR5,2018,NO2,1,Data capture rate (%):,100
CR5,2018,NO2,2,Hourly max (ug/m3):,169.6
CR5,2018,NO2,3,Low days:,365
CR5,2018,NO2,4,Moderate days:,0
CR5,2018,NO2,5,High days:,0
CR5,2018,NO2,6,Very High days:,0
CR5,2018,NO2,7,Mean: (AQS Objective < 40ug/m3),49
CR5,2018,NO2,7,Annual data capture rate (%):,100
CR5,2018,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2019,NO2,0,Nitrogen Dioxide,-999
CR5,2019,NO2,1,Data capture rate (%):,95
CR5,2019,NO2,2,Hourly max (ug/m3):,140.3
CR5,2019,NO2,3,Low days:,345
CR5,2019,NO2,4,Moderate days:,0
CR5,2019,NO2,5,High days:,0
CR5,2019,NO2,6,Very High days:,0
CR5,2019,NO2,7,Mean: (AQS Objective < 40ug/m3),44
CR5,2019,NO2,7,Annual data capture rate (%):,95
CR5,2019,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2020,NO2,0,Nitrogen Dioxide,-999
CR5,2020,NO2,1,Data capture rate (%):,99
CR5,2020,NO2,2,Hourly max (ug/m3):,170.4
CR5,2020,NO2,3,Low days:,363
CR5,2020,NO2,4,Moderate days:,0
CR5,2020,NO2,5,High days:,0
CR5,2020,NO2,6,Very High days:,0
CR5,2020,NO2,7,Mean: (AQS Objective < 40ug/m3),35
CR5,2020,NO2,7,Annual data capture rate (%):,99
CR5,2020,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2021,NO2,0,Nitrogen Dioxide,-999
CR5,2021,NO2,1,Data capture rate (%):,99
CR5,2021,NO2,2,Hourly max (ug/m3):,131.2
CR5,2021,NO2,3,Low days:,363
CR5,2021,NO2,4,Moderate days:,0
CR5,2021,NO2,5,High days:,0
CR5,2021,NO2,6,Very High days:,0
CR5,2021,NO2,7,Mean: (AQS Objective < 40ug/m3),39
CR5,2021,NO2,7,Annual data capture rate (%):,99
CR5,2021,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2022,NO2,0,Nitrogen Dioxide,-999
CR5,2022,NO2,1,Data capture rate (%):,100
CR5,2022,NO2,2,Hourly max (ug/m3):,142.8
CR5,2022,NO2,3,Low days:,365
CR5,2022,NO2,4,Moderate days:,0
CR5,2022,NO2,5,High days:,0
CR5,2022,NO2,6,Very High days:,0
CR5,2022,NO2,7,Mean: (AQS Objective < 40ug/m3),37
CR5,2022,NO2,7,Annual data capture rate (%):,100
CR5,2022,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2023,NO2,0,Nitrogen Dioxide,-999
CR5,2023,NO2,1,Data capture rate (%):,99
CR5,2023,NO2,2,Hourly max (ug/m3):,130.7
CR5,2023,NO2,3,Low days:,361
CR5,2023,NO2,4,Moderate days:,0
CR5,2023,NO2,5,High days:,0
CR5,2023,NO2,6,Very High days:,0
CR5,2023,NO2,7,Mean: (AQS Objective < 40ug/m3),32
CR5,2023,NO2,7,Annual data capture rate (%):,99
CR5,2023,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR5,2024,NO2,0,Nitrogen Dioxide,-999
CR5,2024,NO2,1,Data capture rate (%):,68
CR5,2024,NO2,2,Hourly max (ug/m3):,90.9
CR5,2024,NO2,3,Low days:,246
CR5,2024,NO2,4,Moderate days:,0
CR5,2024,NO2,5,High days:,0
CR5,2024,NO2,6,Very High days:,0
CR5,2024,NO2,7,Mean: (AQS Objective < 40ug/m3),27
CR5,2024,NO2,7,Annual data capture rate (%):,68
CR5,2024,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR7,2014,NO2,0,Nitrogen Dioxide,-999
CR7,2014,NO2,1,Data capture rate (%):,100
CR7,2014,NO2,2,Hourly max (ug/m3):,125.5
CR7,2014,NO2,3,Low days:,365
CR7,2014,NO2,4,Moderate days:,0
CR7,2014,NO2,5,High days:,0
CR7,2014,NO2,6,Very High days:,0
CR7,2014,NO2,7,Mean: (AQS Objective < 40ug/m3),35
CR7,2014,NO2,7,Annual data capture rate (%):,100
CR7,2014,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR7,2015,NO2,0,Nitrogen Dioxide,-999
CR7,2015,NO2,1,Data capture rate (%):,85
CR7,2015,NO2,2,Hourly max (ug/m3):,131.8
CR7,2015,NO2,3,Low days:,306
CR7,2015,NO2,4,Moderate days:,0
CR7,2015,NO2,5,High days:,0
CR7,2015,NO2,6,Very High days:,0
CR7,2015,NO2,7,Mean: (AQS Objective < 40ug/m3),32
CR7,2015,NO2,7,Annual data capture rate (%):,85
CR7,2015,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR7,2016,NO2,0,Nitrogen Dioxide,-999
CR7,2016,NO2,1,Data capture rate (%):,82
CR7,2016,NO2,2,Hourly max (ug/m3):,129.6
CR7,2016,NO2,3,Low days:,299
CR7,2016,NO2,4,Moderate days:,0
CR7,2016,NO2,5,High days:,0
CR7,2016,NO2,6,Very High days:,0
CR7,2016,NO2,7,Mean: (AQS Objective < 40ug/m3),31
CR7,2016,NO2,7,Annual data capture rate (%):,82
CR7,2016,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
CR7,2017,NO2,0,Nitrogen Dioxide,-999
CR7,2017,NO2,1,Data capture rate (%):,99
CR7,2017,NO2,2,Hourly max (ug/m3):,137.6
